"SECS","KM","CAD","HR","ID","PACE","WATTS","LRBALANCE","LTE","RTE","LPS","RPS","LPPB","RPPB","LPPE","RPPE","LPPPB","RPPPB","LPPPE","RPPPE","ALT","LAT","LON","SLOPE","RVERT","RCON","TEMP","KPH"
358,1.42841,89,165,"2026-03-28_YIUCB",4.18340026773762,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,43.586906699,-79.75620619,1.66377,9.21,231,13,14.3424
359,1.43236,89.5,165,"2026-03-28_YIUCB",4.19287211740042,545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,43.586918099,-79.756257571,1.17833,9,230,13,14.31
360,1.43589,89.5,165,"2026-03-28_YIUCB",4.20238695579089,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.2,43.58691659,-79.756297469,1.16181,9,230,13,14.2776
361,1.43982,89.5,165,"2026-03-28_YIUCB",4.20238695579089,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.4,43.586921368,-79.756351616,1.67072,9,230,13,14.2776
362,1.44334,89.5,165,"2026-03-28_YIUCB",4.21300977418268,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.4,43.586913992,-79.756391346,1.07548,9,230,13,14.2416
363,1.44736,89,165,"2026-03-28_YIUCB",4.22261633307998,535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.4,43.586893372,-79.756441051,1.07548,9.17,232,12,14.2092
364,1.45106,88.5,165,"2026-03-28_YIUCB",4.2322668020992,529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.4,43.586868394,-79.756465778,1.07548,9.14,233,13,14.1768
365,1.45429,88.5,165,"2026-03-28_YIUCB",4.2322668020992,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.2,43.586836207,-79.756484972,0.456283,9.14,233,12,14.1768
366,1.45744,88,165,"2026-03-28_YIUCB",4.24304141208418,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.2,43.586811397,-79.75648514,0.456283,9.32,235,12,14.1408
367,1.46091,87.5,165,"2026-03-28_YIUCB",4.26257459505541,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.2,43.586776528,-79.756471561,0.456283,9.28,236,12,14.076
368,1.46469,87.5,166,"2026-03-28_YIUCB",4.28338901739056,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,43.586744258,-79.756458485,-0.0728175,9.28,236,12,14.0076
369,1.46867,87.5,166,"2026-03-28_YIUCB",4.30440771349862,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,43.586711485,-79.756441973,-0.0728175,9.24,237,12,13.9392
370,1.47251,88,167,"2026-03-28_YIUCB",4.31443610320131,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.2,43.5866767,-79.756431999,-0.118556,9.24,237,12,13.9068
371,1.47624,88,168,"2026-03-28_YIUCB",4.31443610320131,502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.2,43.586647782,-79.756415151,-0.627462,9.24,237,12,13.9068
